id,title,date,thumbnail,views,likes,dislikes,comments
QMCR45FyfzU,Inside Nikolaj Coster-Waldau's Hidden Los Angeles Home | Open Door | Architectural Digest,2019-10-01T17:00:00.000Z,https://i.ytimg.com/vi/QMCR45FyfzU/default.jpg,"['2842605', '48746', '722', '3458']"
l0Lux9vW8ZM,Inside a $6M Las Vegas Home with a Floating Patio | On the Market | Architectural Digest,2019-09-27T16:00:03.000Z,https://i.ytimg.com/vi/l0Lux9vW8ZM/default.jpg,"['2863548', '41490', '854', '2695']"
SjEQw1v36TM,Amateurs & Experts Guess How Much an LA House with an Ocean View Costs | Architectural Digest,2019-09-26T16:00:11.000Z,https://i.ytimg.com/vi/SjEQw1v36TM/default.jpg,"['206259', '3835', '165', '319']"
40C3C46QLfM,Living in a Water Tower Converted into 3 Story Luxury Home | Unique Spaces | Architectural Digest,2019-09-25T16:00:08.000Z,https://i.ytimg.com/vi/40C3C46QLfM/default.jpg,"['1469426', '23415', '643', '1197']"
_JZxFm4MXMI,Inside Scott Disick's Home with an Amazing Car Collection | Open Door | Architectural Digest,2019-09-24T16:00:08.000Z,https://i.ytimg.com/vi/_JZxFm4MXMI/default.jpg,"['9001696', '120879', '4984', '8411']"
tbI7rCDTiQg,Inside Kourtney Kardashian's Kids' Playhouse | Open Door | Architectural Digest,2019-09-19T16:00:01.000Z,https://i.ytimg.com/vi/tbI7rCDTiQg/default.jpg,"['2799024', '33721', '3110', '2572']"
4sGlzEAuf44,Inside a $22.5M NYC Apartment with an Indoor Wave Pool | On the Market | Architectural Digest,2019-09-18T16:00:05.000Z,https://i.ytimg.com/vi/4sGlzEAuf44/default.jpg,"['1029691', '16380', '834', '1412']"
7ETtE0rzgOs,Inside a $13M Island Mansion with a Helicopter Landing Pad | On the Market | Architectural Digest,2019-09-11T16:00:14.000Z,https://i.ytimg.com/vi/7ETtE0rzgOs/default.jpg,"['1375246', '17117', '1279', '2009']"
cdzLakI1nYA,"Inside 16 Celebrity Bathrooms (Jessica Alba, David Dobrik & More) | Open Door | Architectural Digest",2019-09-09T16:00:05.000Z,https://i.ytimg.com/vi/cdzLakI1nYA/default.jpg,"['538362', '8258', '122', '261']"
e4sNfERt41o,"Architect Breaks Down 6 Luxury Apartments from Billions, Gossip Girl & More | Architectural Digest",2019-09-05T16:00:08.000Z,https://i.ytimg.com/vi/e4sNfERt41o/default.jpg,"['830985', '18686', '226', '484']"
fX2mth3ERR0,Inside a $75M Lake Tahoe Mansion with a Hillside Tram | On the Market | Architectural Digest,2019-09-04T16:00:13.000Z,https://i.ytimg.com/vi/fX2mth3ERR0/default.jpg,"['9601448', '114937', '4741', '11562']"
7Z76MiQv0zg,Inside Liv Tyler's Gut-Renovated NYC Brownstone | Open Door | Architectural Digest,2019-08-27T16:00:06.000Z,https://i.ytimg.com/vi/7Z76MiQv0zg/default.jpg,"['4832317', '82788', '1575', '6278']"
iRqKQi8AvWY,Inside a $29M NYC Townhouse with a $10K Toilet | On the Market | Architectural Digest,2019-08-22T16:00:05.000Z,https://i.ytimg.com/vi/iRqKQi8AvWY/default.jpg,"['425085', '6113', '392', '637']"
FJoNWPzSF6w,Inside Margot Robbie's Los Angeles Office Space | Open Door | Architectural Digest,2019-08-09T16:00:02.000Z,https://i.ytimg.com/vi/FJoNWPzSF6w/default.jpg,"['1702598', '24536', '571', '1026']"
8KYSiCbTLcY,Inside a $20M Hamptons Home with a Massive Finished Barn | On the Market | Architectural Digest,2019-08-06T16:00:03.000Z,https://i.ytimg.com/vi/8KYSiCbTLcY/default.jpg,"['1122359', '13266', '476', '1095']"
jAth0IKzfTM,Inside Cara and Poppy Delevingne's Jungle-Themed Home | Open Door | Architectural Digest,2019-08-05T16:00:11.000Z,https://i.ytimg.com/vi/jAth0IKzfTM/default.jpg,"['5894730', '109141', '3665', '4234']"
rHy7TOckuXs,Inside a $35M Malibu Home with 2 Private Beaches | On the Market | Architectural Digest,2019-07-25T16:25:01.000Z,https://i.ytimg.com/vi/rHy7TOckuXs/default.jpg,"['981908', '14060', '959', '1721']"
JQCctBOgH9I,Amateurs & Experts Guess How Much a NYC Condo With a Private Terrace Costs | Architectural Digest,2019-07-22T16:00:01.000Z,https://i.ytimg.com/vi/JQCctBOgH9I/default.jpg,"['752394', '12675', '537', '1211']"
68Ttf6NQxsY,"Architect Breaks Down 5 TV Houses from Mad Men, That '70s Show & More | Architectural Digest",2019-07-18T19:30:01.000Z,https://i.ytimg.com/vi/68Ttf6NQxsY/default.jpg,"['575187', '16889', '186', '636']"
xtHsnip3UcY,Inside a $40M Hamptons Home with an Indoor Rock Climbing Wall | On the Market | Architectural Digest,2019-07-09T16:00:00.000Z,https://i.ytimg.com/vi/xtHsnip3UcY/default.jpg,"['6372987', '72292', '3762', '9128']"
Pt_5Faa_J-U,Inside Maria Sharapova's House with a Basement Bowling Alley | Open Door | Architectural Digest,2019-06-27T12:00:33.000Z,https://i.ytimg.com/vi/Pt_5Faa_J-U/default.jpg,"['5450805', '73257', '2890', '5711']"
0_BEwbnmRZ4,Inside Mark Ronson's Spanish-Style LA House | Open Door | Architectural Digest,2019-07-01T16:00:08.000Z,https://i.ytimg.com/vi/0_BEwbnmRZ4/default.jpg,"['1615320', '31160', '741', '1879']"
VyEf4EBXe8o,Inside David Dobrik's $2.5M Los Angeles Home | Open Door | Architectural Digest,2019-06-24T14:00:37.000Z,https://i.ytimg.com/vi/VyEf4EBXe8o/default.jpg,"['19231380', '487059', '14980', '20111']"
